Year,Date,Time,GameType,Team1,Team2,Network,Rating,Viewers,Notes
2019,,,Bowl Game,Appalachian State,UAB,,0.6,0.963,
2019,,,Bowl Game,San Diego State,Central Michigan,,0.49,0.802,
2019,,,Bowl Game,Buffalo,Charlotte,,0.55,0.739,
2019,,,Bowl Game,FIU,Arkansas State,,0.43,0.692,
2019,12/14/2020,,Regular Season,Army,Navy,CBS,4.9,7.72,
2019,12/7/2020,,Regular Season,LSU,Georgia,CBS,7.9,13.7,
2019,12/7/2020,,Regular Season,Ohio State,Wisconsin,FOX,7.6,13.55,
2019,12/7/2020,,Regular Season,Oklahoma,Baylor,ABC,5.5,8.7,
2019,12/6/2020,,Regular Season,Oregon,Utah,ABC,3.5,5.86,
2019,12/7/2020,,Regular Season,Clemson,Virginia,ABC,2.4,3.97,
2019,12/7/2020,,Regular Season,Memphis,Cincinatti,ABC,1.9,2.88,
2019,12/7/2020,,Regular Season,Appalachian State,Louisiana,ESPN,0.48,0.726,
2019,12/7/2020,,Regular Season,Boise State,Hawaii,ESPN,0.37,0.55,
2019,12/7/2020,,Regular Season,Miami (OH),Central Michigan,ESPN2,0.24,0.358,
2019,11/30/2020,Noon,Regular Season,Ohio State,Michigan,FOX,7.1,12.42,
2019,11/30/2020,3:30,Regular Season,Alabama,Auburn,CBS,6.3,11.43,
2019,11/30/2020,8:00,Regular Season,Oklahoma,Oklahoma State,FOX,3.2,5.82,
2019,11/30/2020,3:30,Regular Season,Wisconsin,Minnesota,ABC,2.9,5.03,
2019,11/30/2020,4:00,Regular Season,Notre Dame,Stanford,FOX,2,3.21,
2019,11/30/2020,7:00,Regular Season,Texas A&M,LSU,ESPN,1.6,2.95,
2019,11/29/2020,Noon,Regular Season,Texas Tech,Texas,FOX,1.8,2.89,
2019,11/29/2020,4:00,Regular Season,Washington State,Washington,FOX,1.7,2.85,
2019,11/29/2020,Noon,Regular Season,Virginia Tech,Virginia,ABC,1.7,2.84,
2019,11/29/2020,3:30,Regular Season,Cincinnati,Memphis,ABC,1.5,2.51,
2019,11/30/2020,7:30,Regular Season,Colorado,Utah,ABC,1.4,2.43,
2019,11/30/2020,Noon,Regular Season,Georgia,Georgia Tech,ABC,1.4,2.35,
2019,11/29/2020,2:30,Regular Season,Missouri,Arkansas,CBS,1.4,2.09,
2019,11/30/2020,Noon,Regular Season,Clemson,South Carolina,ESPN,1,1.77,
2019,11/29/2020,8:00,Regular Season,South Florida,UCF,ESPN,1.1,1.76,
2019,11/30/2020,10:00,Regular Season,Arizona,Arizona State,ESPN,0.9,1.44,
2019,11/29/2020,2:30,Regular Season,Iowa,Nebraska,BTN,,1.43,
2019,11/28/2020,7:30,Regular Season,Ole Miss,Mississippi State,ESPN,0.6,1.35,
2019,11/29/2020,4:15,Regular Season,West Virginia,TCU,ESPN,0.7,1.2,
2019,11/30/2020,7:00,Regular Season,Iowa State,Kansas State,FS1,0.34,0.642,
2019,11/30/2020,3:30,Regular Season,Rutgers,Penn State,BTN,,0.627,
2019,11/30/2020,Noon,Regular Season,Indiana,Purdue,ESPN2,0.32,0.612,
2019,11/30/2020,3:30,Regular Season,Baylor,Kansas,ESPN,0.36,0.581,
2019,11/30/2020,10:30,Regular Season,California,UCLA,FS1,0.26,0.494,
2019,11/30/2020,3:30,Regular Season,Miami (FL),Duke,ESPN2,0.23,0.454,
2019,11/30/2020,3:30,Regular Season,Maryland,Michigan State,FS1,0.22,0.422,
2019,11/30/2020,7:00,Regular Season,Navy,Houston,ESPN2,0.25,0.411,
2019,11/26/2020,7:00,Regular Season,Western Michigan,Northern Illinois,ESPNU,,0.238,
2019,11/30/2020,10:30,Regular Season,Fresno State,San Jose State,ESPN2,,0.231,
2019,11/30/2020,Noon,Regular Season,Northwestern,Illinois,FS1,,0.219,
2019,11/30/2020,5:00,Regular Season,Grambling,Southern,NBCSN,,0.206,
2019,11/23/2020,Noon,Regular Season,Penn State,Ohio State,FOX,5.8,9.43,
2019,11/23/2020,3:30,Regular Season,Texas A&M,Georgia,CBS,2.9,4.89,
2019,11/23/2020,7:30,Regular Season,Oregon,Arizona State,ABC,2.4,4.09,
2019,11/23/2020,7:00,Regular Season,Arkansas,LSU,ESPN,1.9,3.17,
2019,11/23/2020,8:00,Regular Season,TCU,Oklahoma,FOX,1.9,3.15,
2019,11/23/2020,4:00,Regular Season,Purdue,Wisconsin,FOX,1.9,3.12,
2019,11/23/2020,3:30,Regular Season,Michigan,Indiana,ESPN,1.4,2.3,
2019,11/23/2020,3:30,Regular Season,UCLA,USC,ABC,1.3,1.94,
2019,11/23/2020,2:30,Regular Season,Boston College,Notre Dame,NBC,1.1,1.66,
2019,11/23/2020,Noon,Regular Season,Western Carolina,Alabama,ESPN,0.9,1.44,
2019,11/23/2020,Noon,Regular Season,Minnesota,Northwestern,ABC,0.9,1.36,
2019,11/23/2020,10:00,Regular Season,Washington,Colorado,ESPN,0.8,1.18,
2019,11/23/2020,3:30,Regular Season,Texas,Baylor,FS1,0.7,1.15,
2019,11/23/2020,Noon,Regular Season,Oklahoma State,West Virginia,ESPN2,0.53,0.871,
2019,11/22/2020,9:30,Regular Season,Colorado State,Wyoming,ESPN2,0.49,0.794,
2019,11/23/2020,7:00,Regular Season,Kansas State,Texas Tech,FS1,0.39,0.633,
2019,11/23/2020,3:30,Regular Season,Pittsburgh,Virginia Tech,ESPN2,0.36,0.571,
2019,11/21/2020,8:00,Regular Season,NC State,Georgia Tech,ESPN,0.36,0.558,
2019,11/23/2020,10:00,Regular Season,Utah,Arizona,FS1,0.33,0.533,
2019,11/20/2020,7:30,Regular Season,Toledo,Buffalo,ESPN2,0.26,0.386,
2019,11/23/2020,7:00,Regular Season,Temple,Cincinnati,ESPN2,0.22,0.359,
2019,11/23/2020,10:30,Regular Season,Nevada,Fresno State,ESPN2,0.19,0.323,
2019,11/19/2020,7:30,Regular Season,Eastern Michigan,Northern Illinois,ESPN2,,0.294,
2019,11/16/2020,7:30,Regular Season,Oklahoma,Baylor,ABC,3.9,6.79,
2019,11/16/2020,3:30,Regular Season,Georgia,Auburn,CBS,4,6.77,
2019,11/16/2020,4:00,Regular Season,Minnesota,Iowa,FOX,2.6,4.41,
2019,11/16/2020,Noon,Regular Season,Michigan State,Michigan,FOX,2.5,3.94,
2019,11/16/2020,Noon,Regular Season,Indiana,Penn State,ABC,1.9,2.93,
2019,11/16/2020,7:00,Regular Season,LSU,Ole Miss,ESPN,1.5,2.63,
2019,11/16/2020,Noon,Regular Season,Alabama,Mississippi State,ESPN,1.5,2.49,
2019,11/16/2020,Noon,Regular Season,Florida,Missouri,CBS,1.5,2.29,
2019,11/16/2020,3:30,Regular Season,Wake Forest,Clemson,ABC,1.2,1.91,
2019,11/16/2020,10:30,Regular Season,Arizona,Oregon,ESPN,1,1.61,
2019,11/16/2020,2:30,Regular Season,Navy,Notre Dame,NBC,1,1.56,
2019,11/16/2020,8:00,Regular Season,UCLA,Utah,FOX,1,1.52,
2019,11/16/2020,3:30,Regular Season,Texas,Iowa State,FS1,0.6,1.07,
2019,11/16/2020,3:30,Regular Season,West Virginia,Kansas State,ESPN,0.6,0.98,
2019,11/14/2020,8:00,Regular Season,North Carolina,Pittsburgh,ESPN,0.51,0.789,
2019,11/16/2020,Noon,Regular Season,TCU,Texas Tech,ESPN2,0.36,0.562,
2019,11/16/2020,11:00,Regular Season,USC,California,FS1,0.34,0.551,
2019,11/15/2020,9:30,Regular Season,Fresno State,San Diego State,ESPN2,0.34,0.53,
2019,11/16/2020,7:30,Regular Season,Arizona State,Oregon State,FS1,0.29,0.488,
2019,11/13/2020,8:00,Regular Season,Northern Illinois,Toledo,ESPN2,0.24,0.347,
2019,11/12/2020,6:00,Regular Season,Western Michigan,Ohio,ESPN2,0.21,0.338,
2019,11/16/2020,Noon,Regular Season,Kansas,Oklahoma State,FS1,0.22,0.334,
2019,11/16/2020,3:30,Regular Season,Memphis,Houston,ESPN2,,0.292,
2019,11/16/2020,7:00,Regular Season,Air Force,Colorado State,ESPN2,,0.229,
2019,11/16/2020,10:15,Regular Season,New Mexico,Boise State,ESPN2,,0.224,
2019,11/9/2020,3:30,Regular Season,LSU,Alabama,CBS,9.7,16.64,
2019,11/9/2020,Noon,Regular Season,Penn State,Minnesota,ABC,4.3,6.74,
2019,11/9/2020,8:00,Regular Season,Iowa State,Oklahoma,FOX,1.9,3.17,
2019,11/9/2020,7:30,Regular Season,Clemson,NC State,ABC,1.6,2.71,
2019,11/9/2020,Noon,Regular Season,Maryland,Ohio State,FOX,1.7,2.58,
2019,11/9/2020,4:00,Regular Season,Iowa,Wisconsin,FOX,1.4,2.32,
2019,11/9/2020,7:00,Regular Season,Missouri,Georgia,ESPN,1.2,2.17,
2019,11/9/2020,3:30,Regular Season,USC,Arizona State,ABC,1.2,1.63,
2019,11/9/2020,Noon,Regular Season,Vanderbilt,Florida,ESPN,0.75,1.23,
2019,11/9/2020,10:15,Regular Season,Wyoming,Boise State,ESPN,0.7,1.18,
2019,11/9/2020,3:30,Regular Season,Kansas State,Texas,ESPN,0.6,1.05,
2019,11/8/2020,7:00,Regular Season,UCF,Tulsa,ESPN2,0.5,0.787,
2019,11/9/2020,7:00,Regular Season,Appalachian State,South Carolina,ESPN2,0.41,0.739,
2019,11/9/2020,Noon,Regular Season,Baylor,TCU,FS1,0.45,0.728,
2019,11/8/2020,10:30,Regular Season,Washington,Oregon State,FS1,0.4,0.648,
2019,11/9/2020,3:30,Regular Season,Illinois,Michigan State,FS1,0.33,0.569,
2019,11/7/2020,8:00,Regular Season,Temple,South Florida,ESPN,0.31,0.431,
2019,11/9/2020,Noon,Regular Season,Texas Tech,West Virginia,ESPN2,0.27,0.429,
2019,11/6/2020,8:00,Regular Season,Miami (OH),Ohio,ESPN2,0.25,0.359,
2019,11/9/2020,3:30,Regular Season,Louisville,Miami (FL),ESPN2,0.21,0.33,
2019,11/9/2020,10:30,Regular Season,Nevada,San Diego State,ESPN2,0.2,0.325,
2019,11/5/2020,7:00,Regular Season,Ball State,Western Michigan,ESPN2,,0.212,
2019,11/9/2020,7:30,Regular Season,Liberty,Brigham Young,ESPNU,,0.166,
2019,11/2/2020,3:30,Regular Season,Georgia,Florida,CBS,4.2,6.98,
2019,11/2/2020,8:00,Regular Season,Oregon,USC,FOX,2.05,3.43,
2019,11/2/2020,Noon,Regular Season,Michigan,Maryland,ABC,2.1,3.1,
2019,11/2/2020,2:30,Regular Season,Virginia Tech,Notre Dame,NBC,1.9,2.95,
2019,11/2/2020,7:30,Regular Season,SMU,Memphis,ABC,1.8,2.95,
2019,11/2/2020,Noon,Regular Season,Nebraska,Purdue,FOX,1.8,2.7,
2019,11/2/2020,7:00,Regular Season,Ole Miss,Auburn,ESPN,1.2,2.21,
2019,11/2/2020,3:30,Regular Season,Miami (FL),Florida State,ABC,1.3,2.01,
2019,11/2/2020,4:00,Regular Season,Utah,Washington,FOX,1.3,1.96,
2019,10/31/2020,8:00,Regular Season,West Virginia,Baylor,ESPN,0.7,1.13,
2019,11/2/2020,Noon,Regular Season,NC State,Wake Forest,ESPN,0.6,0.89,
2019,11/2/2020,3:30,Regular Season,TCU,Oklahoma State,ESPN,0.51,0.797,
2019,11/1/2020,8:00,Regular Season,Navy,UConn,ESPN2,0.48,0.742,
2019,11/2/2020,Noon,Regular Season,Houston,UCF,ESPN2,0.49,0.736,
2019,11/2/2020,10:00,Regular Season,Brigham Young,Utah State,ESPN2,0.34,0.592,
2019,11/2/2020,7:00,Regular Season,UAB,Tennessee,ESPNU,,0.496,
2019,11/2/2020,7:30,Regular Season,Northwestern,Indiana,FS1,0.25,0.377,
2019,11/2/2020,3:30,Regular Season,Kansas State,Kansas,FS1,,0.296,
2019,10/31/2020,8:00,Regular Season,Georgia Southern,Appalachian State,ESPNU,,0.195,
2019,10/26/2020,3:30,Regular Season,Auburn,LSU,CBS,4.3,7.18,
2019,10/26/2020,7:30,Regular Season,Notre Dame,Michigan,ABC,3.8,6.75,
2019,10/26/2020,Noon,Regular Season,Wisconsin,Ohio State,FOX,4.2,6.65,
2019,10/26/2020,Noon,Regular Season,Oklahoma,Kansas State,ABC,2.7,4.21,
2019,10/26/2020,3:30,Regular Season,Penn State,Michigan State,ABC,2.3,3.92,
2019,10/26/2020,3:30,Regular Season,Texas,TCU,FOX,1.6,2.58,
2019,10/26/2020,3:30,Regular Season,Arkansas,Alabama,ESPN,1.2,2.12,
2019,10/26/2020,10:30,Regular Season,Washington State,Oregon,ESPN,1.1,1.9,
2019,10/26/2020,Noon,Regular Season,Miami (FL),Pittsburgh,ESPN,0.7,1.08,
2019,10/25/2020,9:00,Regular Season,USC,Colorado,ESPN2,0.51,0.773,
2019,10/24/2020,7:30,Regular Season,SMU,Houston,ESPN,0.5,0.769,
2019,10/26/2020,3:30,Regular Season,Maryland,Minnesota,ESPN,0.44,0.663,
2019,10/26/2020,Noon,Regular Season,Iowa,Northwestern,ESPN2,0.37,0.584,
2019,10/26/2020,3:30,Regular Season,Oklahoma State,Iowa State,FS1,0.32,0.529,
2019,10/26/2020,3:30,Regular Season,Syracuse,Florida State,ESPN2,0.27,0.422,
2019,10/26/2020,7:00,Regular Season,Texas Tech,Kansas,FS1,0.22,0.379,
2019,10/26/2020,7:00,Regular Season,UCF,Temple,ESPN2,,0.277,
2019,10/26/2020,10:00,Regular Season,California,Utah,FS1,,0.251,
2019,10/26/2020,3:30,Regular Season,FIU,Middle Tennessee,NFLN,,0.025,
2019,10/19/2020,7:30,Regular Season,Michigan,Penn State,ABC,4,6.66,
2019,10/19/2020,9:00,Regular Season,Tennessee,Alabama,ESPN,2.4,4.25,
2019,10/19/2020,3:30,Regular Season,LSU,Mississippi State,CBS,2.4,3.86,
2019,10/19/2020,3:30,Regular Season,Oregon,Washington,ABC,2.3,3.62,
2019,10/19/2020,Noon,Regular Season,Florida,South Carolina,ESPN,2,3.19,
2019,10/19/2020,6:00,Regular Season,Kentucky,Georgia,ESPN,1.6,2.94,
2019,10/19/2020,Noon,Regular Season,Clemson,Louisville,ABC,1.7,2.61,
2019,10/19/2020,Noon,Regular Season,West Virginia,Oklahoma,FOX,1.7,2.54,
2019,10/19/2020,4:00,Regular Season,Baylor,Oklahoma State,FOX,1.4,2.23,
2019,10/18/2020,8:30,Regular Season,Ohio State,Northwestern,BTN,,1.64,
2019,10/19/2020,Noon,Regular Season,Wisconsin,Illinois,BTN,,1.11,
2019,10/18/2020,7:00,Regular Season,Pittsburgh,Syracuse,ESPN,0.7,1.09,
2019,10/19/2020,Noon,Regular Season,Purdue,Iowa,ESPN2,0.49,0.799,
2019,10/19/2020,10:15,Regular Season,Boise State,Brigham Young,ESPN2,0.35,0.571,
2019,10/19/2020,3:30,Regular Season,Minnesota,Rutgers,BTN,,0.564,
2019,10/16/2020,8:00,Regular Season,South Alabama,Troy,ESPN2,0.29,0.448,
2019,10/17/2020,9:00,Regular Season,UCLA,Stanford,ESPN,0.3,0.445,
2019,10/19/2020,Noon,Regular Season,Iowa State,Texas Tech,FS1,0.23,0.343,
2019,10/19/2020,7:00,Regular Season,Colorado,Washington State,ESPNU,,0.271,
2019,10/19/2020,7:00,Regular Season,Tulane,Memphis,ESPN2,,0.192,
2019,10/12/2020,Noon,Regular Season,Oklahoma,Texas,FOX,4.5,7.25,
2019,10/12/2020,8:00,Regular Season,Florida,LSU,ESPN,3.6,6.45,
2019,10/12/2020,3:30,Regular Season,Alabama,Texas A&M,CBS,3.7,6.11,
2019,10/12/2020,7:30,Regular Season,Penn State,Iowa,ABC,2.2,3.7,
2019,10/12/2020,Noon,Regular Season,South Carolina,Georgia,ESPN,2,3.25,
2019,10/12/2020,7:30,Regular Season,USC,Notre Dame,NBC,1.9,3.16,
2019,10/12/2020,3:30,Regular Season,Florida State,Clemson,ABC,1.6,2.54,
2019,10/12/2020,Noon,Regular Season,Michigan,Illinois,ABC,1.4,2.13,
2019,10/11/2020,8:00,Regular Season,Virginia,Miami (FL),ESPN,1.1,1.73,
2019,10/12/2020,4:00,Regular Season,Iowa State,West Virginia,ESPN,1,1.57,
2019,10/12/2020,7:30,Regular Season,Nebraska,Minnesota,FS1,0.53,1.02,
2019,10/12/2020,4:00,Regular Season,Texas Tech,Baylor,FS1,0.48,0.81,
2019,10/12/2020,10:30,Regular Season,Washington,Arizona,FS1,0.42,0.73,
2019,10/10/2020,8:00,Regular Season,Syracuse,NC State,ESPN,0.44,0.714,
2019,10/11/2020,10:00,Regular Season,Colorado,Oregon,FS1,0.38,0.687,
2019,10/12/2020,10:15,Regular Season,Hawaii,Boise State,ESPN2,0.34,0.555,
2019,10/9/2020,8:00,Regular Season,Appalachian State,Louisiana,ESPN2,0.35,0.543,
2019,10/12/2020,7:00,Regular Season,Ole Miss,Missouri,ESPN2,0.3,0.495,
2019,10/12/2020,3:30,Regular Season,Cincinnati,Houston,ESPN2,,0.261,
2019,10/12/2020,Noon,Regular Season,Memphis,Temple,ESPN2,,0.232,
2019,10/5/2020,7:30,Regular Season,Michigan State,Ohio State,ABC,3.9,6.68,
2019,10/5/2020,3:30,Regular Season,Auburn,Florida,CBS,3.9,6.43,
2019,10/5/2020,Noon,Regular Season,Iowa,Michigan,FOX,3.2,5.02,
2019,10/5/2020,7:00,Regular Season,Georgia,Tennessee,ESPN,2.1,3.9,
2019,10/5/2020,3:30,Regular Season,Texas,West Virginia,ABC,1.9,3.16,
2019,10/5/2020,12:30,Regular Season,Oklahoma,Kansas,ABC,1.95,2.98,
2019,10/5/2020,4:00,Regular Season,Northwestern,Nebraska,FOX,1.4,2.21,
2019,10/5/2020,8:00,Regular Season,California,Oregon,FOX,1.2,2,
2019,10/5/2020,10:30,Regular Season,Washington,Stanford,ESPN,1.1,1.88,
2019,10/5/2020,Noon,Regular Season,Purdue,Penn State,ESPN,0.9,1.5,
2019,10/4/2020,8:00,Regular Season,UCF,Cincinnati,ESPN,0.9,1.44,
2019,10/5/2020,3:30,Regular Season,Bowling Green,Notre Dame,NBC,0.8,1.28,
2019,10/5/2020,3:30,Regular Season,Virginia Tech,Miami (FL),ESPN,0.55,0.893,
2019,10/5/2020,Noon,Regular Season,Oklahoma State,Texas Tech,FS1,0.21,0.456,
2019,10/5/2020,3:30,Regular Season,Baylor,Kansas State,ESPN2,0.25,0.418,
2019,10/5/2020,2:00,Regular Season,TCU,Iowa State,ESPN2,0.27,0.403,
2019,10/3/2020,8:00,Regular Season,Temple,East Carolina,ESPN,0.24,0.374,
2019,10/5/2020,Noon,Regular Season,Kent State,Wisconsin,ESPNU,,0.36,
2019,10/5/2020,10:00,Regular Season,San Diego State,Colorado State,ESPN2,,0.225,
2019,10/5/2020,7:30,Regular Season,Tulsa,SMU,ESPNU,,0.175,
2019,9/28/2020,7:30,Regular Season,Ohio State,Nebraska,ABC,3.5,6.14,
2019,9/28/2020,3:30,Regular Season,Clemson,North Carolina,ABC,2.8,4.4,
2019,9/28/2020,3:30,Regular Season,Ole Miss,Alabama,CBS,2.2,3.59,
2019,9/28/2020,Noon,Regular Season,Northwestern,Wisconsin,ABC,2,3.03,
2019,9/28/2020,3:30,Regular Season,Virginia,Notre Dame,NBC,1.8,2.82,
2019,9/28/2020,Noon,Regular Season,Texas Tech,Oklahoma,FOX,1.9,2.81,
2019,9/28/2020,Noon,Regular Season,Texas A&M,Arkansas,ESPN,1.6,2.58,
2019,9/28/2020,3:30,Regular Season,USC,Washington,FOX,1.3,2.03,
2019,9/28/2020,7:00,Regular Season,Mississippi State,Auburn,ESPN,1.2,1.99,
2019,9/28/2020,10:30,Regular Season,UCLA,Arizona,ESPN,1,1.63,
2019,9/27/2020,10:30,Regular Season,Arizona State,California,ESPN,0.9,1.41,
2019,9/28/2020,3:30,Regular Season,Iowa State,Baylor,ESPN,0.8,1.25,
2019,9/27/2020,7:00,Regular Season,Duke,Virginia Tech,ESPN,0.8,1.2,
2019,9/27/2020,8:00,Regular Season,Penn State,Maryland,FS1,0.6,0.99,
2019,9/26/2020,8:00,Regular Season,Navy,Memphis,ESPN,0.5,0.73,
2019,9/28/2020,10:00,Regular Season,Washington State,Utah,FS1,0.39,0.677,
2019,9/28/2020,Noon,Regular Season,Middle Tennessee,Iowa,ESPN2,0.3,0.529,
2019,9/28/2020,3:30,Regular Season,Minnesota,Purdue,ESPN2,0.3,0.46,
2019,9/28/2020,7:00,Regular Season,UConn,UCF,ESPN2,0.2,0.322,
2019,9/28/2020,10:30,Regular Season,Hawaii,Nevada,ESPN2,,0.254,
2019,9/28/2020,8:00,Regular Season,UNLV,Wyoming,ESPNU,,0.137,
2019,9/28/2020,Noon,Regular Season,Kansas,TCU,FS1,,0.133,
2019,9/21/2020,8:00,Regular Season,Notre Dame,Georgia,CBS,5.4,9.29,
2019,9/21/2020,Noon,Regular Season,Michigan,Wisconsin,FOX,3.1,4.73,
2019,9/21/2020,3:30,Regular Season,Auburn,Texas A&M,CBS,3,4.66,
2019,9/21/2020,8:00,Regular Season,Oklahoma State,Texas,ABC,2.2,3.64,
2019,9/21/2020,3:30,Regular Season,UCF,Pittsburgh,ABC,1.7,2.55,
2019,9/21/2020,3:30,Regular Season,Washington,Brigham Young,ABC,1.7,2.55,
2019,9/21/2020,Noon,Regular Season,Tennessee,Florida,ESPN,1.6,2.46,
2019,9/21/2020,3:30,Regular Season,Louisville,Florida State,ESPN,1,1.54,
2019,9/21/2020,Noon,Regular Season,Michigan State,Northwestern,ABC,1.1,1.53,
2019,9/20/2020,9:00,Regular Season,Utah,USC,FS1,0.9,1.42,
2019,9/21/2020,10:30,Regular Season,UCLA,Washington State,ESPN,0.9,1.39,
2019,9/21/2020,7:00,Regular Season,Oregon,Stanford,ESPN,0.8,1.37,
2019,9/21/2020,Noon,Regular Season,Southern Mississippi,Alabama,ESPN,0.8,1.29,
2019,9/19/2020,8:00,Regular Season,Houston,Tulane,ESPN,0.6,1.03,
2019,9/21/2020,8:00,Regular Season,Nebraska,Illinois,BTN,0.46,0.896,
2019,9/20/2020,9:00,Regular Season,Air Force,Boise State,ESPN2,0.6,0.895,
2019,9/21/2020,3:30,Regular Season,UCF,Pittsburgh,ESPN2,0.38,0.593,
2019,9/21/2020,3:30,Regular Season,Washington,Brigham Young,ESPN3,0.38,0.593,
2019,9/21/2020,7:00,Regular Season,Old Dominion,Virginia,ESPN2,0.26,0.414,
2019,9/21/2020,3:30,Regular Season,SMU,TCU,FS1,0.26,0.41,
2019,9/21/2020,Noon,Regular Season,California,Ole Miss,ESPNU,,0.392,
2019,9/21/2020,10:15,Regular Season,Toledo,Colorado State,ESPN2,,0.185,
2019,9/21/2020,Noon,Regular Season,Louisiana-Monroe,Iowa State,FS1,,0.159,
2019,9/14/2020,3:30,Regular Season,Alabama,South Carolina,CBS,3,4.95,
2019,9/14/2020,7:30,Regular Season,Clemson,Syracuse,ABC,2.3,3.62,
2019,9/14/2020,12:30,Regular Season,Pittsburgh,Penn State,ABC,2.1,3.2,
2019,9/14/2020,7:00,Regular Season,Florida,Kentucky,ESPN,1.7,3.14,
2019,9/14/2020,Noon,Regular Season,Ohio State,Indiana,FOX,2,3.05,
2019,9/14/2020,8:00,Regular Season,Oklahoma,UCLA,FOX,1.7,2.74,
2019,9/14/2020,4:00,Regular Season,Arizona State,Michigan State,FOX,1.7,2.71,
2019,9/14/2020,3:30,Regular Season,Brigham Young,USC,ABC,1.7,2.67,
2019,9/13/2020,9:15,Regular Season,Washington State,Houston,ESPN,1.3,2.07,
2019,9/14/2020,10:30,Regular Season,Texas Tech,Arizona,ESPN,1.1,1.73,
2019,9/14/2020,Noon,Regular Season,Kansas State,Mississippi State,ESPN,1.1,1.7,
2019,9/14/2020,2:30,Regular Season,New Mexico,Notre Dame,NBC,1,1.5,
2019,9/13/2020,6:00,Regular Season,North Carolina,Wake Forest,ESPN,0.9,1.37,
2019,9/14/2020,4:00,Regular Season,Iowa,Iowa State,FS1,0.6,1.17,
2019,9/14/2020,3:30,Regular Season,Stanford,UCF,ESPN,0.6,0.967,
2019,9/14/2020,Noon,Regular Season,Arkansas State,Georgia,ESPN2,0.6,0.951,
2019,9/14/2020,7:00,Regular Season,Kent State,Auburn,ESPN2,0.38,0.625,
2019,9/14/2020,Noon,Regular Season,NC State,West Virginia,FS1,0.39,0.606,
2019,9/14/2020,3:30,Regular Season,Oklahoma State,Tulsa,ESPN2,0.4,0.605,
2019,9/14/2020,8:00,Regular Season,Northern Illinois,Nebraska,FS1,,0.477,
2019,9/14/2020,10:15,Regular Season,Portland State,Boise State,ESPN2,0.23,0.391,
2019,9/14/2020,3:30,Regular Season,Army,UTSA,NFLN,,0.142,
2019,9/14/2020,7:00,Regular Season,Lamar,Texas A&M,ESPNU,,0.142,
2019,9/7/2020,7:30,Regular Season,LSU,Texas,ABC,5,8.63,
2019,9/7/2020,3:30,Regular Season,Texas A&M,Clemson,ABC,4,6.46,
2019,9/7/2020,Noon,Regular Season,Army,Michigan,FOX,3.1,4.72,
2019,9/7/2020,3:30,Regular Season,Nebraska,Colorado,FOX,2,3.45,
2019,9/7/2020,Noon,Regular Season,Cincinnati,Ohio State,ABC,1.9,2.94,
2019,9/7/2020,8:00,Regular Season,Buffalo,Penn State,FOX,1.3,2.17,
