Year,School,Conference,Division,Wins,Losses,WinningPercentage,ConferenceWins,ConferenceLosses,ConferenceWinningPercentage,PointsScoredPerGame,PointsAgainstPerGame,SimpleRatingSystem,StrengthofSchedule,APPreseasonRank,APHighRank,APFinalRank,Notes
2008,Buffalo,MAC ,East,8,6,0.571,5,3,0.625,30.3,28.2,-0.41,-2.7,,,,
2008,Bowling Green,MAC ,East,6,6,0.5,4,4,0.5,27.7,23.2,-2,-5.25,,,,
2008,Temple,MAC ,East,5,7,0.417,4,4,0.5,23.4,23.1,-3.38,-4.05,,,,
2008,Akron,MAC ,East,5,7,0.417,3,5,0.375,30,31.3,-6.87,-4.95,,,,
2008,Kent State,MAC ,East,4,8,0.333,3,5,0.375,25.7,31.7,-11.1,-5.02,,,,
2008,Ohio,MAC ,East,4,8,0.333,3,5,0.375,24.1,27.3,-8.8,-4.64,,,,
2008,Miami (OH),MAC ,East,2,10,0.167,1,7,0.125,18.4,32.7,-17.24,-3.91,,,,
2008,Ball State,MAC ,West,12,2,0.857,8,0,1,34.9,20.5,6.26,-7.03,,12,,
2008,Central Michigan,MAC ,West,8,5,0.615,6,2,0.75,29.5,30.2,-2.75,-4.44,,,,
2008,Western Michigan,MAC ,West,9,4,0.692,6,2,0.75,28.6,24.9,-0.87,-4.49,,,,
2008,Northern Illinois,MAC ,West,6,7,0.462,5,3,0.625,24.2,18,-2.73,-5.43,,,,
2008,Eastern Michigan,MAC ,West,3,9,0.25,2,6,0.25,25.8,35.6,-13.89,-3.73,,,,
2008,Toledo,MAC ,West,3,9,0.25,2,6,0.25,22.4,31.4,-12.22,-3.81,,,,
2008,Utah,Mountain West,,13,0,1,8,0,1,36.9,17.2,13.79,-2.06,,2,2,
2008,TCU,Mountain West,,11,2,0.846,7,1,0.875,33.6,11.3,13.47,-1.23,,7,7,
2008,Brigham Young,Mountain West,,10,3,0.769,6,2,0.75,34.2,21.9,4.96,-3.58,16,8,25,
2008,Air Force,Mountain West,,8,5,0.615,5,3,0.625,26.8,22.2,2.55,-2.53,,,,
2008,Colorado State,Mountain West,,7,6,0.538,4,4,0.5,25.2,30.2,-3.96,-1.04,,,,
2008,UNLV,Mountain West,,5,7,0.417,2,6,0.25,25.6,32.6,-7.41,-1.08,,,,
2008,New Mexico,Mountain West,,4,8,0.333,2,6,0.25,21.1,22.8,-4.18,-0.35,,,,
2008,Wyoming,Mountain West,,4,8,0.333,1,7,0.125,12.7,27.8,-11.44,-1.94,,,,
2008,San Diego State,Mountain West,,2,10,0.167,1,7,0.125,19.3,37.2,-14.97,-2.89,,,,
2008,USC,Pac-10,,12,1,0.923,8,1,0.889,37.5,9,22.24,3.86,3,1,3,
2008,Oregon,Pac-10,,10,3,0.769,7,2,0.778,41.9,28.2,12.39,3.08,21,10,10,
2008,Oregon State,Pac-10,,9,4,0.692,7,2,0.778,30.5,23.1,10.26,4.8,,17,18,
2008,California,Pac-10,,9,4,0.692,6,3,0.667,32.6,19.9,10.43,2.89,,21,,
2008,Arizona,Pac-10,,8,5,0.615,5,4,0.556,36.6,21.3,9.21,-0.33,,,,
2008,Arizona State,Pac-10,,5,7,0.417,4,5,0.444,22.8,22.7,1.62,1.7,15,15,,
2008,Stanford,Pac-10,,5,7,0.417,4,5,0.444,26.3,27.4,-0.04,3.79,,,,
2008,UCLA,Pac-10,,4,8,0.333,3,6,0.333,17.7,29,-3.98,3.61,,23,,
2008,Washington State,Pac-10,,2,11,0.154,1,8,0.111,12.7,43.8,-13.82,3.33,,,,
2008,Washington,Pac-10,,0,12,0,0,9,0,13.3,38.6,-12.08,6.75,,,,
2008,Florida,SEC ,East,13,1,0.929,7,1,0.875,43.6,12.9,25.37,5.59,5,1,1,
2008,Georgia,SEC ,East,10,3,0.769,6,2,0.75,31.5,24.5,11.6,4.52,1,1,13,
2008,South Carolina,SEC ,East,7,6,0.538,4,4,0.5,20.8,21.1,5.21,4.28,,24,,
2008,Vanderbilt,SEC ,East,7,6,0.538,4,4,0.5,19.2,19.6,4.48,4.32,,13,,
2008,Tennessee,SEC ,East,5,7,0.417,3,5,0.375,17.3,16.8,1.64,2.89,18,18,,
2008,Kentucky,SEC ,East,7,6,0.538,2,6,0.25,22.6,21.5,3.55,1.24,,,,
2008,Alabama,SEC ,West,12,2,0.857,8,0,1,30.1,14.3,16.15,2.93,24,1,6,
2008,Ole Miss,SEC ,West,9,4,0.692,5,3,0.625,32.1,19,12.11,3.18,,14,14,
2008,LSU,SEC ,West,8,5,0.615,3,5,0.375,30.9,24.2,5.91,1.37,7,3,,
2008,Arkansas,SEC ,West,5,7,0.417,2,6,0.25,21.9,31.2,-0.36,5.56,,,,
2008,Auburn,SEC ,West,5,7,0.417,2,6,0.25,17.3,18,1.26,2.1,10,9,,
2008,Mississippi State,SEC ,West,4,8,0.333,2,6,0.25,15.3,24.7,-5,1.75,,,,
2008,Troy,Sun Belt,,8,5,0.615,7,1,0.875,32.8,21.3,1.06,-4.94,,,,
2008,Louisiana,Sun Belt,,6,6,0.5,5,2,0.714,33.1,33.7,-5.57,-6.24,,,,
2008,Florida Atlantic,Sun Belt,,7,6,0.538,5,3,0.625,25.1,28.7,-5.7,-4.08,,,,
2008,Arkansas State,Sun Belt,,6,6,0.5,4,3,0.571,27,23.8,-6.24,-5.91,,,,
2008,FIU,Sun Belt,,5,7,0.417,4,4,0.5,24.7,28.3,-6.58,-4.92,,,,
2008,Middle Tennessee,Sun Belt,,5,7,0.417,4,4,0.5,22.8,24.9,-8.58,-5.99,,,,
2008,Louisiana-Monroe,Sun Belt,,4,8,0.333,3,4,0.429,23.7,31.2,-10.58,-6.24,,,,
2008,North Texas,Sun Belt,,1,11,0.083,1,7,0.125,20,47.6,-22.21,-3.54,,,,
2008,Boise State,WAC,,12,1,0.923,8,0,1,37.6,12.6,12.83,-3.94,,9,11,
2008,Louisiana Tech,WAC,,8,5,0.615,5,3,0.625,24.6,23.7,-3.56,-5.41,,,,
2008,Hawaii,WAC,,7,7,0.5,5,3,0.625,24.6,28.9,-4.06,-1.99,,,,
2008,Nevada,WAC,,7,6,0.538,5,3,0.625,37.6,32.3,2.25,-3.14,,,,
2008,Fresno State,WAC,,7,6,0.538,4,4,0.5,29.6,31.1,-3.53,-4.06,,21,,
2008,San Jose State,WAC,,6,6,0.5,4,4,0.5,18.7,21.6,-7.22,-4.97,,,,
2008,Utah State,WAC,,3,9,0.25,3,5,0.375,24,34.7,-9.2,-0.95,,,,
2008,New Mexico State,WAC,,3,9,0.25,1,7,0.125,22.2,34.1,-11.99,-4.08,,,,
2008,Idaho,WAC,,2,10,0.167,1,7,0.125,19.6,42.8,-19.87,-4.12,,,,
2009,Clemson,ACC,Atlantic,9,5,0.643,6,2,0.75,31.1,20.4,11.73,4.01,,15,24,
2009,Boston College,ACC,Atlantic,8,5,0.615,5,3,0.625,24.8,19.8,5.47,2.17,,,,
2009,Florida State,ACC,Atlantic,7,6,0.538,4,4,0.5,30.1,30,6.08,5.38,18,18,,
2009,Wake Forest,ACC,Atlantic,5,7,0.417,3,5,0.375,26.3,26.3,1.85,2.94,,,,
2009,NC State,ACC,Atlantic,5,7,0.417,2,6,0.25,30.3,31.2,-1.06,2.36,,,,
2009,Maryland,ACC,Atlantic,2,10,0.167,1,7,0.125,21.3,31.3,-6.6,2.65,,,,
2009,Georgia Tech,ACC,Coastal,11,3,0.786,7,1,0.875,33.8,24.8,13.54,4.83,15,7,13,record adjusted to 10-3-0 by NCAA
2009,Virginia Tech,ACC,Coastal,10,3,0.769,6,2,0.75,31.8,15.6,18.57,5.42,7,4,10,
2009,Miami (FL),ACC,Coastal,9,4,0.692,5,3,0.625,30.3,22.2,12.2,4.73,,8,19,
2009,North Carolina,ACC,Coastal,8,5,0.615,4,4,0.5,23.8,17.1,8.04,3.04,21,19,,record adjusted to 0-5-0 by NCAA
2009,Duke,ACC,Coastal,5,7,0.417,3,5,0.375,25.2,28.3,-2.45,-0.2,,,,
2009,Virginia,ACC,Coastal,3,9,0.25,2,6,0.25,19.3,26.3,-3,4.5,,,,
2009,Nebraska,Big 12,North,10,4,0.714,6,2,0.75,25.1,10.4,11.41,2.69,24,14,14,
2009,Missouri,Big 12,North,8,5,0.615,4,4,0.5,29,25.4,4.33,1.25,,24,,
2009,Kansas State,Big 12,North,6,6,0.5,4,4,0.5,23,23.3,-1.08,-0.08,,,,
2009,Iowa State,Big 12,North,7,6,0.538,3,5,0.375,20.5,21.8,-0.96,-0.73,,,,
2009,Colorado,Big 12,North,3,9,0.25,2,6,0.25,22.3,28.8,-3.86,2.39,,,,
2009,Kansas,Big 12,North,5,7,0.417,1,7,0.125,29.4,28.4,0.88,2.22,25,16,,
2009,Texas,Big 12,South,13,1,0.929,8,0,1,39.3,16.7,20.21,3.49,2,2,2,
2009,Oklahoma State,Big 12,South,9,4,0.692,6,2,0.75,28.4,21.7,8.01,2.78,9,5,,
2009,Oklahoma,Big 12,South,8,5,0.615,5,3,0.625,31.1,14.5,13.21,4.82,3,3,,
2009,Texas Tech,Big 12,South,9,4,0.692,5,3,0.625,37,22.5,10.79,0.86,,21,21,
2009,Texas A&M,Big 12,South,6,7,0.462,3,5,0.375,32.8,33.5,3.37,2.91,,,,
2009,Baylor,Big 12,South,4,8,0.333,1,7,0.125,20.8,27.3,-2.3,4.37,,,,
2009,Cincinnati,Big East,,12,1,0.923,7,0,1,38.6,23.1,14.23,1.77,,4,8,
2009,Pittsburgh,Big East,,10,3,0.769,5,2,0.714,32.1,19.8,12.75,1.98,,8,15,
2009,West Virginia,Big East,,9,4,0.692,5,2,0.714,26.2,21.7,7.48,2.48,,18,25,
2009,UConn,Big East,,8,5,0.615,3,4,0.429,31.2,23.6,8.03,2.8,,,,
2009,Rutgers,Big East,,9,4,0.692,3,4,0.429,28.8,17.9,6.34,-2.12,,25,,
2009,South Florida,Big East,,8,5,0.615,3,4,0.429,26.5,19.8,3.64,-0.05,,21,,
2009,Louisville,Big East,,4,8,0.333,1,6,0.143,18.1,26.3,-4.01,2.83,,,,
2009,Syracuse,Big East,,4,8,0.333,1,6,0.143,21.2,27.9,-4.41,2.51,,,,
2009,Ohio State,Big Ten,,11,2,0.846,7,1,0.875,29,12.5,14.71,1.71,6,5,5,
2009,Iowa,Big Ten,,11,2,0.846,6,2,0.75,23.2,15.4,10.26,1.87,22,7,7,
2009,Penn State,Big Ten,,11,2,0.846,6,2,0.75,28.8,12.2,13.86,-0.75,9,5,9,
2009,Wisconsin,Big Ten,,10,3,0.769,5,3,0.625,31.8,21.8,8.19,0.35,,16,16,
2009,Northwestern,Big Ten,,8,5,0.615,5,3,0.625,25.9,24.5,-0.39,-1.93,,,,
2009,Michigan State,Big Ten,,6,7,0.462,4,4,0.5,29.7,26.3,2.52,1.68,,,,
2009,Purdue,Big Ten,,5,7,0.417,4,4,0.5,27.8,29.1,0.79,1.7,,,,
2009,Minnesota,Big Ten,,6,7,0.462,3,5,0.375,20.9,23.8,-0.1,2.67,,,,
2009,Illinois,Big Ten,,3,9,0.25,2,6,0.25,24.2,30.2,-3.67,2.24,,,,
2009,Michigan,Big Ten,,5,7,0.417,1,7,0.125,29.5,27.5,-1.51,-0.26,,22,,
2009,Indiana,Big Ten,,4,8,0.333,1,7,0.125,23.5,29.5,-5.75,-0.25,,,,
2009,East Carolina,C-USA,East,9,5,0.643,7,1,0.875,27,21.9,3.58,-0.85,,,,
2009,UCF,C-USA,East,8,5,0.615,6,2,0.75,26.2,22.5,-0.75,-2.44,,,,
2009,Southern Mississippi,C-USA,East,7,6,0.538,5,3,0.625,32.9,25.8,-0.67,-4.36,,,,
2009,Marshall,C-USA,East,7,6,0.538,4,4,0.5,21.8,24.3,-3.35,-2.88,,,,
2009,UAB,C-USA,East,5,7,0.417,4,4,0.5,27.8,32.3,-5.75,-2.67,,,,
2009,Memphis,C-USA,East,2,10,0.167,1,7,0.125,21.8,34.8,-12.06,-0.81,,,,
2009,Houston,C-USA,West,10,4,0.714,6,2,0.75,42.2,30.1,4.21,-3.07,,12,,
2009,SMU,C-USA,West,8,5,0.615,6,2,0.75,29.2,27.6,-3.09,-4.09,,,,
2009,Tulsa,C-USA,West,5,7,0.417,3,5,0.375,29.3,27.3,-4.25,-4.5,,,,
2009,UTEP,C-USA,West,4,8,0.333,3,5,0.375,29.8,33.5,-7.21,-5.04,,,,
2009,Rice,C-USA,West,2,10,0.167,2,6,0.25,18.3,43.1,-16.33,-0.91,,,,
2009,Tulane,C-USA,West,3,9,0.25,1,7,0.125,16.1,36.7,-16.23,-3.23,,,,
2009,Navy,Independent,,10,4,0.714,0,0,,28,19.4,4.87,-2.63,,,,
2009,Notre Dame,Independent,,6,6,0.5,0,0,,30.1,25.9,6.49,3.65,23,18,,
2009,Army,Independent,,5,7,0.417,0,0,,15.3,21.9,-12.59,-6.59,,,,
2009,Ohio,MAC,East,9,5,0.643,7,1,0.875,24.8,21.3,-1.89,-6.18,,,,
2009,Temple,MAC,East,9,4,0.692,7,1,0.875,29.5,22.3,-2.36,-8.29,,,,
2009,Bowling Green,MAC,East,7,6,0.538,6,2,0.75,28.5,27.5,-2.34,-4.65,,,,
2009,Kent State,MAC,East,5,7,0.417,4,4,0.5,19.3,22.4,-10.69,-7.77,,,,
2009,Buffalo,MAC,East,5,7,0.417,3,5,0.375,24.1,23.8,-6.75,-5.58,,,,
2009,Akron,MAC,East,3,9,0.25,2,6,0.25,19.3,28.8,-14.65,-4.99,,,,
2009,Miami (OH),MAC,East,1,11,0.083,1,7,0.125,15.6,34.2,-16.98,-1.39,,,,
2009,Central Michigan,MAC,West,12,2,0.857,8,0,1,33.9,18.9,4.76,-6.38,,23,23,
2009,Northern Illinois,MAC,West,7,6,0.538,5,3,0.625,28.6,21.6,-4.24,-7.54,,,,
2009,Western Michigan,MAC,West,5,7,0.417,4,4,0.5,24.7,27.5,-10.53,-8.78,,,,
2009,Toledo,MAC,West,5,7,0.417,3,5,0.375,29.7,37.7,-11.29,-5.79,,,,
2009,Ball State,MAC,West,2,10,0.167,2,6,0.25,19.2,28.2,-15.38,-7.05,,,,
2009,Eastern Michigan,MAC,West,0,12,0,0,8,0,16.4,38.3,-22.89,-5.48,,,,
2009,TCU,Mountain West,,12,1,0.923,8,0,1,38.3,12.8,17.05,-1.33,17,3,6,
2009,Brigham Young,Mountain West,,11,2,0.846,7,1,0.875,35.5,21.5,9.67,-0.56,20,7,12,
2009,Utah,Mountain West,,10,3,0.769,6,2,0.75,29.8,20.2,7.28,-1.18,19,16,18,
2009,Air Force,Mountain West,,8,5,0.615,5,3,0.625,29.7,15.7,6.57,-2.28,,,,
2009,Wyoming,Mountain West,,7,6,0.538,4,4,0.5,18.3,27.3,-4.53,-0.53,,,,
2009,UNLV,Mountain West,,5,7,0.417,3,5,0.375,24.8,32.4,-5.61,-0.95,,,,
2009,San Diego State,Mountain West,,4,8,0.333,2,6,0.25,23.3,30.5,-7.79,-2.54,,,,
2009,New Mexico,Mountain West,,1,11,0.083,1,7,0.125,16.3,35.9,-15.8,0.45,,,,
2009,Colorado State,Mountain West,,3,9,0.25,0,8,0,21.7,29.8,-9.14,-1.39,,,,
2009,Oregon,Pac-10,,10,3,0.769,8,1,0.889,36.1,23.8,15.48,5.33,16,7,11,
2009,Arizona,Pac-10,,8,5,0.615,6,3,0.667,27.4,23.9,6.98,3.91,,18,,
2009,Oregon State,Pac-10,,8,5,0.615,6,3,0.667,31.5,25,8.47,3.17,,13,,
2009,Stanford,Pac-10,,8,5,0.615,6,3,0.667,35.5,26.5,10.88,3.42,,14,,
2009,California,Pac-10,,8,5,0.615,5,4,0.556,29.1,25.5,4.28,2.13,12,6,,
2009,USC,Pac-10,,9,4,0.692,5,4,0.556,26.5,19.8,9.11,3.95,4,3,22,
2009,Washington,Pac-10,,5,7,0.417,4,5,0.444,26.1,26.7,3.61,4.94,,24,,
2009,UCLA,Pac-10,,7,6,0.538,3,6,0.333,22,21.2,3.8,3.26,,,,
2009,Arizona State,Pac-10,,4,8,0.333,2,7,0.222,22.3,21.1,0.71,2.63,,,,
2009,Washington State,Pac-10,,1,11,0.083,0,9,0,12,38.5,-14.87,4.88,,,,
2009,Florida,SEC,East,13,1,0.929,8,0,1,35.9,12.4,21.15,5.43,1,1,3,
2009,Georgia,SEC,East,8,5,0.615,4,4,0.5,28.9,25.9,9.06,6.36,13,13,,
2009,Tennessee,SEC,East,7,6,0.538,4,4,0.5,29.3,22.2,8.94,5.48,,,,
2009,Kentucky,SEC,East,7,6,0.538,3,5,0.375,26.1,22.7,6.03,3.56,,,,
2009,South Carolina,SEC,East,7,6,0.538,3,5,0.375,20.6,20.4,7.1,6.17,,21,,
2009,Vanderbilt,SEC,East,2,10,0.167,0,8,0,16.3,23.3,-5.11,4.14,,,,
2009,Alabama,SEC,West,14,0,1,8,0,1,32.1,11.7,23.69,6.62,5,1,1,
2009,LSU,SEC,West,9,4,0.692,5,3,0.625,24.8,16.2,12.7,6,11,4,17,
2009,Ole Miss,SEC,West,9,4,0.692,4,4,0.5,29.5,17.7,11.5,2.5,8,4,20,
2009,Arkansas,SEC,West,8,5,0.615,3,5,0.375,36,25.1,13.14,5.45,,,,
2009,Auburn,SEC,West,8,5,0.615,3,5,0.375,33.3,27.5,10.26,4.8,,17,,
2009,Mississippi State,SEC,West,5,7,0.417,3,5,0.375,25.6,26.8,5.76,7.93,,,,
2009,Troy,Sun Belt,,9,4,0.692,8,0,1,33.7,29.8,2.73,-3.97,,,,
2009,Middle Tennessee,Sun Belt,,10,3,0.769,7,1,0.875,32,23.7,1.1,-6.36,,,,
2009,Louisiana-Monroe,Sun Belt,,6,6,0.5,5,3,0.625,25.6,27.3,-8.15,-5.15,,,,
2009,Florida Atlantic,Sun Belt,,5,7,0.417,5,3,0.625,27.4,33.8,-9.74,-5.15,,,,
2009,Louisiana,Sun Belt,,6,6,0.5,4,4,0.5,22.2,30.3,-9.68,-5.35,,,,
2009,Arkansas State,Sun Belt,,4,8,0.333,3,5,0.375,22.7,23.3,-9.63,-5.8,,,,
2009,FIU,Sun Belt,,3,9,0.25,3,5,0.375,22.9,35.3,-11.15,-2.4,,,,
2009,North Texas,Sun Belt,,2,10,0.167,1,7,0.125,26.6,35.6,-14.38,-5.97,,,,
2009,Western Kentucky,Sun Belt,,0,12,0,0,8,0,20.4,39.6,-20.88,-4.88,,,,
2009,Boise State,WAC,,14,0,1,8,0,1,42.2,17.1,13.5,-4.28,14,4,4,
2009,Nevada,WAC,,8,5,0.615,7,1,0.875,38.2,28.5,2.19,-3.66,,,,
2009,Fresno State,WAC,,8,5,0.615,6,2,0.75,33.8,28.4,1.34,-3.27,,,,
2009,Idaho,WAC,,8,5,0.615,4,4,0.5,32.7,36,-4.73,-4.11,,,,
2009,Hawaii,WAC,,6,7,0.462,3,5,0.375,22.8,29.5,-8.2,-4.2,,,,
2009,Louisiana Tech,WAC,,4,8,0.333,3,5,0.375,29.2,25.8,-2.97,-2.05,,,,
2009,Utah State,WAC,,4,8,0.333,3,5,0.375,29.1,34,-6.85,-2.35,,,,
2009,New Mexico State,WAC,,3,10,0.231,1,7,0.125,11.5,31.6,-17.97,-4.12,,,,
2009,San Jose State,WAC,,2,10,0.167,1,7,0.125,13.8,34.5,-14.63,-1.13,,,,
2010,Florida State,ACC ,Atlantic,10,4,0.714,6,2,0.75,31.4,19.6,14.2,5.06,20,16,17,
2010,Maryland,ACC ,Atlantic,9,4,0.692,5,3,0.625,32.2,22.2,7.02,1.33,,23,23,
2010,NC State,ACC ,Atlantic,9,4,0.692,5,3,0.625,31.8,21.3,11,2.92,,21,25,
2010,Boston College,ACC ,Atlantic,7,6,0.538,4,4,0.5,18.5,19.5,2.15,3,,,,
2010,Clemson,ACC ,Atlantic,6,7,0.462,4,4,0.5,24,18.8,7.35,3.74,,,,
2010,Wake Forest,ACC ,Atlantic,3,9,0.25,1,7,0.125,22.8,35.8,-5.07,4.26,,,,
2010,Virginia Tech,ACC ,Coastal,11,3,0.786,8,0,1,33.9,20.6,14.03,2.74,10,10,16,
2010,Miami (FL),ACC ,Coastal,7,6,0.538,5,3,0.625,26.3,20.7,8.26,4.72,13,12,,
2010,North Carolina,ACC ,Coastal,8,5,0.615,4,4,0.5,25.3,23.2,5.15,2.84,18,18,,
2010,Georgia Tech,ACC ,Coastal,6,7,0.462,4,4,0.5,26,25.2,0.8,0.8,16,15,,
2010,Virginia,ACC ,Coastal,4,8,0.333,1,7,0.125,25.3,28.3,-3.29,0.37,,,,
2010,Duke,ACC ,Coastal,3,9,0.25,1,7,0.125,25.3,35.4,-4.59,2.66,,,,
2010,Missouri,Big 12 ,North,10,3,0.769,6,2,0.75,29.8,16.1,13.98,3.29,,7,18,
2010,Nebraska,Big 12 ,North,10,4,0.714,6,2,0.75,30.9,17.4,12.85,2.42,8,5,20,
2010,Kansas State,Big 12 ,North,7,6,0.538,3,5,0.375,33.6,29.1,4.11,1.26,,,,
2010,Iowa State,Big 12 ,North,5,7,0.417,3,5,0.375,21.7,28.8,0.43,4.27,,,,
2010,Colorado,Big 12 ,North,5,7,0.417,2,6,0.25,24.2,30.8,0.75,4.33,,,,
